repo,proof,backend,result,exit_code,wall_time_s,max_rss_kb
mldsa-native,polyveck_caddq,sat_cadical,TIMEOUT,124,300.27,5543112
mldsa-native,polyveck_caddq,sat_minisat,SUCCESS,0,257.68,2203288
mldsa-native,polyveck_chknorm,smt,SUCCESS,0,1.49,84632
mldsa-native,polyveck_chknorm,sat_cadical,TIMEOUT,124,300.21,3996224
mldsa-native,polyveck_chknorm,sat_minisat,TIMEOUT,124,300.12,1521832
mldsa-native,polyveck_chknorm,smt_afs,SUCCESS,0,2.26,102300
mldsa-native,polyveck_chknorm,sat_cadical_afs,TIMEOUT,124,300.2,3998516
mldsa-native,polyveck_decompose,smt,SUCCESS,0,21.16,357480
mldsa-native,polyveck_decompose,sat_cadical,TIMEOUT,124,300.57,9805732
mldsa-native,polyveck_decompose,sat_minisat,TIMEOUT,124,300.22,3281368
mldsa-native,polyveck_invntt_tomont,smt,SUCCESS,0,5.82,279044
mldsa-native,polyveck_invntt_tomont,sat_cadical,TIMEOUT,124,300.24,5552388
mldsa-native,polyveck_invntt_tomont,sat_minisat,TIMEOUT,124,300.16,1951124
mldsa-native,polyveck_make_hint,smt,SUCCESS,0,1.97,169792
mldsa-native,polyveck_make_hint,sat_cadical,SUCCESS,0,208.6,3446320
mldsa-native,polyveck_make_hint,sat_minisat,SUCCESS,0,37.35,1240440
mldsa-native,polyveck_ntt,smt,SUCCESS,0,5.96,279344
mldsa-native,polyveck_ntt,sat_cadical,TIMEOUT,124,300.27,5551676
mldsa-native,polyveck_ntt,sat_minisat,TIMEOUT,124,300.16,1945152
mldsa-native,polyveck_pack_eta,smt,SUCCESS,0,0.46,47588
mldsa-native,polyveck_pack_eta,sat_cadical,SUCCESS,0,87.14,1436520
mldsa-native,polyveck_pack_eta,sat_minisat,SUCCESS,0,61.51,494032
mldsa-native,polyveck_pack_t0,smt,SUCCESS,0,0.53,51408
mldsa-native,polyveck_pack_t0,sat_cadical,SUCCESS,0,98.07,1463612
mldsa-native,polyveck_pack_t0,sat_minisat,SUCCESS,0,54.39,496780
mldsa-native,polyveck_pack_t0,smt_afs,SUCCESS,0,0.59,58300
mldsa-native,polyveck_pack_t0,sat_cadical_afs,SUCCESS,0,98.67,1464260
mldsa-native,polyveck_pack_w1,smt,SUCCESS,0,0.79,71816
mldsa-native,polyveck_pack_w1,sat_cadical,SUCCESS,0,56.72,1492156
mldsa-native,polyveck_pack_w1,sat_minisat,SUCCESS,0,12.58,500356
mldsa-native,polyveck_pack_w1,smt_afs,SUCCESS,0,0.97,78020
mldsa-native,polyveck_pack_w1,sat_cadical_afs,SUCCESS,0,55.96,1493380
mldsa-native,polyveck_pointwise_poly_montgomery,smt,SUCCESS,0,3.82,209408
mldsa-native,polyveck_pointwise_poly_montgomery,sat_cadical,TIMEOUT,124,300.24,4565528
mldsa-native,polyveck_pointwise_poly_montgomery,sat_minisat,SUCCESS,0,187.91,1726120
mldsa-native,polyveck_power2round,smt,SUCCESS,0,10.84,349224
mldsa-native,polyveck_power2round,sat_cadical,TIMEOUT,124,300.34,7776660
mldsa-native,polyveck_power2round,sat_minisat,SUCCESS,0,290.86,2879416
mldsa-native,polyveck_reduce,smt,SUCCESS,0,6.3,281384
mldsa-native,polyveck_reduce,sat_cadical,TIMEOUT,124,300.24,5551316
mldsa-native,polyveck_reduce,sat_minisat,SUCCESS,0,268.47,1944700
mldsa-native,polyveck_shiftl,smt,SUCCESS,0,5.57,210592
mldsa-native,polyveck_shiftl,sat_cadical,TIMEOUT,124,300.21,5545732
mldsa-native,polyveck_shiftl,sat_minisat,SUCCESS,0,167.96,1908452
mldsa-native,polyveck_sub,smt,SUCCESS,0,5.75,274036
mldsa-native,polyveck_sub,sat_cadical,TIMEOUT,124,300.3,6772440
mldsa-native,polyveck_sub,sat_minisat,SUCCESS,0,283.68,2378336
mldsa-native,polyveck_unpack_eta,smt,SUCCESS,0,1.39,148304
mldsa-native,polyveck_unpack_eta,sat_cadical,SUCCESS,0,112.8,1534580
mldsa-native,polyveck_unpack_eta,sat_minisat,SUCCESS,0,59.99,526984
mldsa-native,polyveck_unpack_t0,smt,SUCCESS,0,1.28,118260
mldsa-native,polyveck_unpack_t0,sat_cadical,SUCCESS,0,96.19,1539616
mldsa-native,polyveck_unpack_t0,sat_minisat,SUCCESS,0,53.94,529776
mldsa-native,polyveck_use_hint,smt,SUCCESS,0,8.36,307456
mldsa-native,polyveck_use_hint,sat_cadical,TIMEOUT,124,300.23,6479240
mldsa-native,polyveck_use_hint,sat_minisat,SUCCESS,0,90.39,2204864
mldsa-native,polyvecl_chknorm,smt,SUCCESS,0,1.67,65644
mldsa-native,polyvecl_chknorm,sat_cadical,TIMEOUT,124,300.91,3616732
mldsa-native,polyvecl_chknorm,sat_minisat,TIMEOUT,124,300.09,1374472
mldsa-native,polyvecl_chknorm,smt_afs,SUCCESS,0,1.27,64680
