# Multiplication encoding benchmark results
# Date: 2026-04-23T11:16:11+00:00
# Machine: Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz
# Memory: 68Gi
# OS: Ubuntu 24.04.4 LTS
# GCC: gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0
# CBMC: 6.8.0 (cbmc-6.8.0-250-g3db825a832-dirty)
# Runs: 3 (median), Timeout: 120s, Memlimit: 5GB, Jobs: 8
# Solvers: CaDiCaL 3.0.0, MiniSat 2.2.1, CryptoMiniSat 5.11.21
# Mul encodings: shift-add dadda comba comba-cs
# Adder encodings: ripple brent-kung g-only
# MergeSat: available (cbmc)
# MergeSat: available (smt2_solver)
#
suite	solver	mul_enc	adder_enc	benchmark	time
smt2	cryptominisat	shift-add	brent-kung	bf16_mul_comm_v2	56.875486
smt2	cryptominisat	shift-add	g-only	bf16_mul_comm_v2	58.626860
smt2	cryptominisat	shift-add	ripple	bf16_mul_comm_v2	57.305573
smt2	mergesat	comba	brent-kung	bf16_mul_comm_v2	T/O
smt2	mergesat	comba	g-only	bf16_mul_comm_v2	T/O
smt2	mergesat	comba	ripple	bf16_mul_comm_v2	T/O
smt2	mergesat	comba-cs	brent-kung	bf16_mul_comm_v2	T/O
smt2	mergesat	comba-cs	g-only	bf16_mul_comm_v2	T/O
smt2	mergesat	comba-cs	ripple	bf16_mul_comm_v2	T/O
smt2	mergesat	dadda	brent-kung	bf16_mul_comm_v2	T/O
smt2	mergesat	dadda	g-only	bf16_mul_comm_v2	T/O
smt2	mergesat	dadda	ripple	bf16_mul_comm_v2	T/O
smt2	mergesat	shift-add	brent-kung	bf16_mul_comm_v2	94.706646
smt2	mergesat	shift-add	g-only	bf16_mul_comm_v2	98.478684
smt2	mergesat	shift-add	ripple	bf16_mul_comm_v2	94.340064
smt2	minisat	comba	brent-kung	bf16_mul_comm_v2	T/O
smt2	minisat	comba	g-only	bf16_mul_comm_v2	T/O
smt2	minisat	comba	ripple	bf16_mul_comm_v2	T/O
smt2	minisat	comba-cs	brent-kung	bf16_mul_comm_v2	T/O
smt2	minisat	comba-cs	g-only	bf16_mul_comm_v2	T/O
smt2	minisat	comba-cs	ripple	bf16_mul_comm_v2	T/O
smt2	minisat	dadda	brent-kung	bf16_mul_comm_v2	90.177535
smt2	minisat	dadda	g-only	bf16_mul_comm_v2	90.060412
smt2	minisat	dadda	ripple	bf16_mul_comm_v2	90.876961
smt2	minisat	shift-add	brent-kung	bf16_mul_comm_v2	T/O
smt2	minisat	shift-add	g-only	bf16_mul_comm_v2	T/O
smt2	minisat	shift-add	ripple	bf16_mul_comm_v2	T/O
smt2	cadical	comba	brent-kung	bf16_mul_const	.032882
smt2	cadical	comba	g-only	bf16_mul_const	.033122
smt2	cadical	comba	ripple	bf16_mul_const	.033750
smt2	cadical	comba-cs	brent-kung	bf16_mul_const	.029637
