encoding	benchmark	run	time	result	conflicts
sortnet	comm_10	2	.004610	unsat	0
sortnet	comm_10	3	.004617	unsat	0
sortnet	comm_10	4	.004668	unsat	0
sortnet	comm_10	5	.004602	unsat	0
shift-add	comm_12	1	.004700	unsat	0
shift-add	comm_12	2	.004712	unsat	0
shift-add	comm_12	3	.004643	unsat	0
shift-add	comm_12	4	.004633	unsat	0
shift-add	comm_12	5	.004604	unsat	0
comba-cs	comm_12	1	.004593	unsat	0
comba-cs	comm_12	2	.004600	unsat	0
comba-cs	comm_12	3	.004607	unsat	0
comba-cs	comm_12	4	.004649	unsat	0
comba-cs	comm_12	5	.004674	unsat	0
dadda	comm_12	1	.004675	unsat	0
dadda	comm_12	2	.004645	unsat	0
dadda	comm_12	3	.004691	unsat	0
dadda	comm_12	4	.004629	unsat	0
dadda	comm_12	5	.004671	unsat	0
booth	comm_12	1	.004585	unsat	0
booth	comm_12	2	.004644	unsat	0
booth	comm_12	3	.004654	unsat	0
booth	comm_12	4	.004614	unsat	0
booth	comm_12	5	.004701	unsat	0
block4	comm_12	1	.004601	unsat	0
block4	comm_12	2	.004581	unsat	0
block4	comm_12	3	.004621	unsat	0
block4	comm_12	4	.004648	unsat	0
block4	comm_12	5	.004732	unsat	0
sortnet	comm_12	1	.004757	unsat	0
sortnet	comm_12	2	.004733	unsat	0
sortnet	comm_12	3	.004760	unsat	0
sortnet	comm_12	4	.004731	unsat	0
sortnet	comm_12	5	.004717	unsat	0
shift-add	comm_14	1	.004661	unsat	0
shift-add	comm_14	2	.004689	unsat	0
shift-add	comm_14	3	.004647	unsat	0
shift-add	comm_14	4	.004646	unsat	0
shift-add	comm_14	5	.004672	unsat	0
comba-cs	comm_14	1	.004634	unsat	0
comba-cs	comm_14	2	.004658	unsat	0
comba-cs	comm_14	3	.004661	unsat	0
comba-cs	comm_14	4	.004617	unsat	0
comba-cs	comm_14	5	.004671	unsat	0
dadda	comm_14	1	.004654	unsat	0
dadda	comm_14	2	.004639	unsat	0
dadda	comm_14	3	.004718	unsat	0
dadda	comm_14	4	.004649	unsat	0
dadda	comm_14	5	.004628	unsat	0
booth	comm_14	1	.004576	unsat	0
booth	comm_14	2	.004594	unsat	0
booth	comm_14	3	.004628	unsat	0
booth	comm_14	4	.004600	unsat	0
booth	comm_14	5	.004599	unsat	0
block4	comm_14	1	.004663	unsat	0
block4	comm_14	2	.004702	unsat	0
block4	comm_14	3	.004651	unsat	0
block4	comm_14	4	.004661	unsat	0
block4	comm_14	5	.004742	unsat	0
sortnet	comm_14	1	.004676	unsat	0
sortnet	comm_14	2	.004608	unsat	0
sortnet	comm_14	3	.004591	unsat	0
sortnet	comm_14	4	.004597	unsat	0
sortnet	comm_14	5	.004678	unsat	0
shift-add	comm_16	1	.004621	unsat	0
shift-add	comm_16	2	.004611	unsat	0
shift-add	comm_16	3	.004659	unsat	0
shift-add	comm_16	4	.004620	unsat	0
shift-add	comm_16	5	.004622	unsat	0
comba-cs	comm_16	1	.004586	unsat	0
comba-cs	comm_16	2	.004658	unsat	0
comba-cs	comm_16	3	.004724	unsat	0
comba-cs	comm_16	4	.004695	unsat	0
comba-cs	comm_16	5	.004631	unsat	0
dadda	comm_16	1	.004659	unsat	0
dadda	comm_16	2	.004677	unsat	0
dadda	comm_16	3	.004644	unsat	0
dadda	comm_16	4	.004723	unsat	0
dadda	comm_16	5	.004616	unsat	0
booth	comm_16	1	.004614	unsat	0
booth	comm_16	2	.004676	unsat	0
booth	comm_16	3	.004666	unsat	0
booth	comm_16	4	.004737	unsat	0
booth	comm_16	5	.004616	unsat	0
block4	comm_16	1	.004724	unsat	0
block4	comm_16	2	.004796	unsat	0
block4	comm_16	3	.004590	unsat	0
block4	comm_16	4	.004734	unsat	0
block4	comm_16	5	.004675	unsat	0
sortnet	comm_16	1	.004693	unsat	0
sortnet	comm_16	2	.004743	unsat	0
sortnet	comm_16	3	.004688	unsat	0
sortnet	comm_16	4	.004671	unsat	0
sortnet	comm_16	5	.004624	unsat	0
shift-add	comm_18	1	.004692	unsat	0
shift-add	comm_18	2	.004673	unsat	0
shift-add	comm_18	3	.004713	unsat	0
shift-add	comm_18	4	.004629	unsat	0
shift-add	comm_18	5	.004633	unsat	0
comba-cs	comm_18	1	.004625	unsat	0
comba-cs	comm_18	2	.004664	unsat	0
comba-cs	comm_18	3	.004631	unsat	0
comba-cs	comm_18	4	.004633	unsat	0
comba-cs	comm_18	5	.004653	unsat	0
dadda	comm_18	1	.004676	unsat	0
dadda	comm_18	2	.004714	unsat	0
dadda	comm_18	3	.004675	unsat	0
dadda	comm_18	4	.004722	unsat	0
dadda	comm_18	5	.004617	unsat	0
